3.408,0.258,249.074,0.917
3.851,0.061,229.043,0.532
4.352,0.016,234.123,0.141
4.841,0.005,237.956,0.044
5.365,0.000,237.592,0.019
5.759,0.001,237.226,0.010
6.335,0.000,236.921,0.005
6.932,0.000,235.564,0.003
7.478,0.000,235.100,0.002
7.897,0.000,234.961,0.000
8.089,0.000,233.681,0.000
8.597,0.000,229.969,0.001
9.165,0.000,225.902,0.003
9.688,0.000,225.830,0.004
10.193,0.001,225.692,0.007
10.694,0.002,224.723,0.012
11.190,0.004,223.799,0.022
11.682,0.008,223.938,0.042
12.179,0.020,220.775,0.095
12.670,0.054,217.487,0.204
13.151,0.143,212.951,0.705
