Nested Sampling Global Log-Evidence           :   -0.942728521794984857E+02  +/-    0.233901889609327424E+00
Nested Importance Sampling Global Log-Evidence:   -0.956377331252489711E+02  +/-    0.151491283462370618E+00

Dim No.       Mean        Sigma
   1    0.374330153824395884E+00    0.269714867447590802E-01
   2    0.365076337367148724E+02    0.666607149480579064E+01
   3    0.984145890836236603E+01    0.198718833097618330E+01
   4    0.254523716507165409E+05    0.105388802088502689E+05
   5    0.846613542363388316E-01    0.105441440346262238E-01
   6    0.315432011992707606E+01    0.138786956596524763E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.387601109567915658E+00
   2    0.330856892527462776E+02
   3    0.880978173152125166E+01
   4    0.246047633949601186E+05
   5    0.826507835991973638E-01
   6    0.308145498125796902E+01

MAP Parameters
Dim No.        Parameter
   1    0.387601109567915658E+00
   2    0.330856892527462776E+02
   3    0.880978173152125166E+01
   4    0.246047633949601186E+05
   5    0.826507835991973638E-01
   6    0.308145498125796902E+01
