0.19	231.95	13.13
0.36	266.93	4.51
0.65 	246.89  10.6
1.62	205.73	5.8
2.61	199.91	1.6
3.55	209.45	2.54
4.52	226.19	2.2
5.27	226.83	1.905
5.74	230.8	1.39
6.23	231.2	1.4
6.73	229.88	1.38
7.22	229.61	1.24
7.82	229.91	0.9
8.19	228.86	0.735
8.78	226.5	1.01
9.27	226.2	0.67
9.76	225.94	0.47
10.26	225.68	0.42
10.75	224.73	0.395
11.25	224.02	0.435
11.75	223.86	0.395
12.25	222.23	0.44
12.74	220.77	0.5
13.23	220.92	0.485
13.74	217.47	0.575
14.24	217.31	0.715
14.74	217.6	0.665
15.22	217.07	0.93
15.74	217.38	0.955
16.24	216.14	1.34
16.74	212.52	1.41
17.25	216.41	1.645
17.75	213.7	1.935
18.24	207.89	1.82
18.74	209.6	2.54
19.22	206.45	2.45
19.71	201.91	2.625
20.27	199.84	3.02
20.78	198.14	3.35
21.24	195.3	6.245
21.8	213.67	13.78
22.14	176.97	23.575
22.73	193.11	23.345
23.66	176.63	17.705
24.82	198.42	6.31

