Nested Sampling Global Log-Evidence           :   -0.942461404257830253E+02  +/-    0.147097770109897247E+00
Nested Importance Sampling Global Log-Evidence:   -0.957381100485583829E+02  +/-    0.207584247189629978E-01

Dim No.       Mean        Sigma
   1    0.380596282473341985E+00    0.286661157996514204E-01
   2    0.350236773507383106E+02    0.705468405742567839E+01
   3    0.945017828870734711E+01    0.202954355874120385E+01
   4    0.279657502286490599E+05    0.115966244368362586E+05
   5    0.818218633026756015E-01    0.118292391182645285E-01
   6    0.313775567003919598E+01    0.148633065670159131E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.390474139763738959E+00
   2    0.323879869215479630E+02
   3    0.874608637039794345E+01
   4    0.258938491674999605E+05
   5    0.813051506720533779E-01
   6    0.308253195512100353E+01

MAP Parameters
Dim No.        Parameter
   1    0.390474139763738959E+00
   2    0.323879869215479630E+02
   3    0.874608637039794345E+01
   4    0.258938491674999605E+05
   5    0.813051506720533779E-01
   6    0.308253195512100353E+01
