Nested Sampling Global Log-Evidence           :   -0.943128000776440700E+02  +/-    0.147265640677294252E+00
Nested Importance Sampling Global Log-Evidence:   -0.956875091319059834E+02  +/-    0.631820064517946284E-01

Dim No.       Mean        Sigma
   1    0.381866905785564648E+00    0.292888138109404401E-01
   2    0.347374012792788207E+02    0.724300036428620864E+01
   3    0.938659960039878349E+01    0.210630822296370068E+01
   4    0.283771542180409306E+05    0.110613916813299711E+05
   5    0.809710262621973348E-01    0.112343288029535422E-01
   6    0.313504237737116354E+01    0.150186838308332543E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.371855505401745223E+00
   2    0.371896892237785721E+02
   3    0.994577678344441907E+01
   4    0.225642829428498080E+05
   5    0.865217224292363363E-01
   6    0.315232607456727898E+01

MAP Parameters
Dim No.        Parameter
   1    0.371855505401745223E+00
   2    0.371896892237785721E+02
   3    0.994577678344441907E+01
   4    0.225642829428498080E+05
   5    0.865217224292363363E-01
   6    0.315232607456727898E+01
