0	1	2	3	4	5	6	7	8
11.3	0.08849557522123894	269.76533333333333	-44.26594444444444	-112.7	-3.037	-9.239	348.03	-10.01
7.1	0.14084507042253522	270.4116666666667	-26.83972222222222	59.0	-2.197	-7.451	3.61	-1.99
6.3	0.15873015873015872	270.4545833333333	-27.825833333333332	0.0	0.515	-3.052	2.77	-2.5
10.6	0.09433962264150944	270.46049999999997	-8.958777777777778	-39.6	-1.498	-4.221	19.23	6.76
5.8	0.1724137931034483	270.9016666666667	-26.0725	0.0	-6.912	-2.409	4.49	-1.99
7.7	0.12987012987012986	270.89175	-30.03397222222222	-21.1	2.618	-6.431	1.02	-3.93
6.8	0.14705882352941177	270.96045833333335	0.2976388888888889	-215.1	-4.249	-2.9	27.18	10.44
7.9	0.12658227848101264	271.20683333333335	-30.056277777777776	206.6	-2.327	-5.527	1.14	-4.17
7.8	0.12820512820512822	271.207	-7.585861111111111	31.0	-6.865	-3.477	20.8	6.78
5.3	0.18867924528301888	271.53583333333336	-27.76527777777778	-17.7	-3.76	-2.799	3.29	-3.31
3.0	0.3333333333333333	271.83575	-24.997333333333334	-27.3	-2.349	-18.557	5.84	-2.2
7.5	0.13333333333333333	272.00983333333335	-43.714888888888886	-158.7	0.349	-8.843	349.29	-11.19
3.6	0.2777777777777778	272.090875	-19.829722222222223	0.0	0.0	0.0	10.48	0.11
21.4	0.04672897196261683	272.275	-46.42305555555556	0.0	0.0	0.0	346.9	-12.57
6.0	0.16666666666666666	272.3233333333333	-25.908694444444443	-3.2	0.246	-0.409	5.26	-3.03
4.9	0.2040816326530612	272.40208333333334	-20.77888888888889	-238.0	0.0	0.0	9.79	-0.61
7.4	0.13513513513513511	272.5733333333334	-31.76388888888889	-197.2	-1.81	-4.133	0.2	-6.02
5.4	0.18518518518518517	272.6841666666667	-7.207611111111111	155.7	0.0	0.0	21.83	5.67
4.8	0.20833333333333334	273.06583333333333	-22.741944444444446	94.1	-6.151	-2.679	8.37	-2.1
10.9	0.09174311926605504	273.41166666666663	-31.826888888888888	-28.1	-4.109	-7.267	0.48	-6.68
6.5	0.15384615384615385	273.52750000000003	-28.635	0.0	3.59	-3.573	3.36	-5.27
5.5	0.18181818181818182	274.62708333333336	-16.977222222222224	0.0	0.0	0.0	14.14	-0.64
13.5	0.07407407407407407	274.6566666666667	-52.21577777777778	222.9	-0.053	-7.185	342.14	-16.41
7.9	0.12658227848101264	275.91879166666666	-30.361027777777778	53.9	0.099	-6.904	2.79	-7.91
5.5	0.18181818181818182	276.13670833333333	-24.869777777777777	17.0	-0.301	-8.913	7.8	-5.58
9.4	0.10638297872340426	277.73375	-25.49747222222222	18.1	-2.55	-4.075	7.9	-7.15
8.8	0.11363636363636363	277.84625	-32.348083333333335	39.9	-5.113	-5.813	1.72	-10.27
8.1	0.1234567901234568	277.97541666666666	-23.475194444444444	-57.2	-0.189	-3.898	9.81	-6.44
10.0	0.1	278.940125	-32.990722222222225	-111.7	-5.506	-4.204	1.53	-11.38
3.2	0.3125	279.09975000000003	-23.90475	-146.3	9.833	-5.557	9.89	-7.55
12.8	0.078125	280.37458333333336	-19.825833333333332	-43.0	-2.031	-5.634	14.11	-6.79
9.0	0.1111111111111111	280.80316666666664	-32.29211111111111	220.3	1.458	-4.688	2.85	-12.51
4.2	0.23809523809523808	282.20708333333334	-1.4972222222222222	0.0	0.0	0.0	31.31	-0.1
6.9	0.14492753623188406	283.2679166666667	-8.706111111111111	-107.6	3.341	-4.384	25.35	-4.32
26.5	0.03773584905660377	283.763875	-30.479861111111113	141.3	-2.711	-1.355	5.61	-14.09
7.1	0.14084507042253522	283.7751666666667	-22.701472222222222	22.8	-3.106	-4.951	12.88	-10.9
8.7	0.1149425287356322	284.888125	-36.63225	-94.5	1.033	-2.445	0.07	-17.3
7.9	0.12658227848101264	286.31374999999997	1.9008333333333334	-61.7	-2.865	-5.987	36.2	-2.21
4.0	0.25	287.717125	-59.98455555555555	-26.7	-3.17	-4.043	336.49	-25.63
7.4	0.13513513513513511	287.8000416666667	1.0304722222222222	-27.5	-1.129	-3.561	36.11	-3.92
9.4	0.10638297872340426	289.1482083333333	30.18347222222222	-135.6	-2.02	1.644	62.66	8.34
22.8	0.043859649122807015	289.43300000000005	-34.65772222222222	166.0	-2.999	-1.586	3.39	-20.07
5.9	0.1694915254237288	289.50875	18.571666666666665	-31.7	-4.25	-6.924	52.43	2.72
28.6	0.03496503496503496	292.18379166666665	-30.35563888888889	115.0	-2.381	-1.51	8.55	-20.79
5.4	0.18518518518518517	294.99879166666665	-30.96475	174.7	-3.42	-9.269	8.79	-23.27
26.3	0.03802281368821293	295.4350416666667	-33.999472222222224	130.0	-2.472	-1.556	5.76	-24.56
13.4	0.07462686567164178	296.31	-8.007222222222222	-68.0	-1.821	-4.934	31.81	-15.57
4.0	0.25	298.44370833333335	18.779194444444446	-22.8	-3.415	-2.614	56.75	-4.56
20.9	0.04784688995215311	301.51954166666667	-21.921166666666668	-189.3	-0.559	-2.798	20.3	-25.75
15.6	0.06410256410256411	308.547375	7.404472222222222	-411.4	-2.636	-4.667	52.1	-18.89
17.0	0.058823529411764705	313.36541666666665	-12.537305555555555	-345.0	-1.233	-3.29	35.16	-32.68
41.2	0.024271844660194174	315.37241666666665	16.187333333333335	-384.1	-0.102	-0.569	63.77	-19.41
10.4	0.09615384615384615	322.49304166666667	12.167	-107.0	-0.643	-3.763	65.01	-27.31
11.5	0.08695652173913043	323.36258333333336	0.82325	-5.3	3.518	-2.145	53.37	-35.77
8.1	0.1234567901234568	325.0921666666667	-23.179861111111112	-184.2	-0.694	-7.271	27.18	-46.84
19.0	0.05263157894736842	326.66183333333333	-21.25261111111111	27.8	-3.249	-3.303	30.51	-47.68
26.0	0.038461538461538464	346.6851666666667	12.772	25.2	1.615	0.142	87.1	-42.7
26.3	0.03802281368821293	347.1109583333334	-15.6115	-177.5	0.799	-2.273	53.39	-63.48
