125.5	-1.6	4.259	11.351	1.058	0.541	12.88	12.72	-51.0	
130.4	-2.1	6.208	10.751	1.110	0.553	12.74	12.65	-50.5	
124.6	-1.1	5.994	10.708	1.222	0.475	12.36	12.35	-58.5	
122.8	-2.8	4.502	9.979	1.128	0.430	11.45	11.36	-42.0	
120.9	0.1	6.847	11.528	1.382	0.748	12.82	12.77	-44.5	
125.4	2.8	6.272	10.916	1.509	0.904	11.64	11.53	-46.5	
115.5	1.1	7.801	10.746	1.449	0.804	12.04	11.97	-54.9	
116.6	-1.1	4.875	11.126	1.211	0.566	12.43	12.33	-77.7	
116.8	-1.3	4.366	11.355	1.221	0.704	12.39	12.21	-79.3	
116.8	0.5	9.812	9.878	1.178	0.501	12.46	12.45	-70.1	
136.0	1.5	3.832	10.856	1.154	0.638	11.89	11.70	-33.0	
120.3	-2.6	8.001	8.964	1.185	0.533	11.17	11.10	-38.1	y)
117.8	-6.2	5.809	9.128	0.984	0.351	11.46	11.35	-29.1	
127.5	1.1	8.377	7.186	1.391	0.786	8.78	8.66	-24.9	
316.4	3.3	5.494	6.820	0.862	0.289	9.43	9.24	-23.2	
315.2	-0.6	17.094	10.537	1.720	1.058	12.23	12.17	-52.0	
295.0	-0.9	3.334	8.760	0.780	0.275	10.77	10.50	-11.9	
307.6	-1.6	15.036	10.263	1.392	0.448	12.97	13.05	-30.8	
309.5	4.6	10.956	7.799	0.972	0.260	11.25	11.20	-18.8	
292.6	0.4	5.310	8.820	1.011	0.310	10.94	10.82	-15.5	
292.8	-0.2	3.211	8.635	0.678	0.160	10.92	10.65	-11.5	
296.4	-0.7	3.997	10.146	0.945	0.396	11.95	11.71	-15.8	
298.0	-1.0	3.174	10.063	0.898	0.371	11.62	11.35	-26.3	
294.9	-0.5	5.893	12.500	1.370	0.800	13.56	13.37	-19.7	
294.2	2.7	12.180	11.502	1.283	0.642	14.08	14.01	-2.7	
307.8	-2.1	34.019	9.884	1.607	0.693	13.20	13.35	-39.7	
